Jan  1 14:36:00  info	Asking for top...
Jan  1 14:36:00  info	Doing -all_status
Jan  1 14:36:00  info	Doing -user
JobId		Status		User		Command name					Submithost

1055142027	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142029	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142073	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142187	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142196	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142203	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142213	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142216	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142238	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142241	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142290	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142308	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142325	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142326	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142350	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142355	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142400	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142430	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142432	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142501	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142509	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142518	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142523	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142565	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142570	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142583	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142589	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142590	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142591	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142611	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142635	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142637	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142668	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142672	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142746	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142756	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142759	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142760	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142807	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142825	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142864	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142868	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142893	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142906	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	pcapiserv08.cern.ch 

1055142966	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055142973	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143048	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143096	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143097	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143134	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143152	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143155	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143288	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143303	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143335	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143383	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143388	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143396	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143409	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143466	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143551	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143618	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143619	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143636	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143637	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143644	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143645	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143681	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143758	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143777	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143834	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143835	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143849	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143928	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143929	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143939	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143940	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143941	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143945	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143946	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143947	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143948	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143949	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143950	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143952	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143954	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143955	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143971	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143972	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143973	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055143974	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055189306	ERROR_V 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055189310	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055189315	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055189316	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055189317	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055189410	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055189411	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055189412	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055189510	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap00/UniFlow.sh	aliendb7.cern.ch    

1055578161	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578163	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578179	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578187	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578193	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578195	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578197	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578202	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578205	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578269	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578272	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578285	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578294	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578304	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578305	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578320	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578329	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578345	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578346	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578348	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578363	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578368	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578384	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578404	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578432	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578435	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578442	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578443	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578490	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578507	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578517	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578518	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	pcapiserv03.cern.ch 

1055578551	EXPIRED 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578559	ERROR_E 	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

1055578562	DONE    	vpacik      	/alice/cern.ch/user/v/vpacik/pp-run3-2-gap08/UniFlow.sh	aliendb7.cern.ch    

